2025-04-26 15:23:37.494 | INFO     | __main__:<module>:19 - 启动应用程序...
2025-04-26 15:23:37.924 | INFO     | __main__:<module>:31 - 创建主窗口...
2025-04-26 15:23:37.928 | INFO     | main_window:__init__:23 - 初始化主窗口...
2025-04-26 15:23:37.933 | DEBUG    | main_window:init_ui:43 - 创建业财看板...
2025-04-26 15:23:37.933 | INFO     | views.dashboard:__init__:23 - 初始化业财看板...
2025-04-26 15:23:37.939 | DEBUG    | views.dashboard:initUI:73 - UI初始化完成
2025-04-26 15:23:38.178 | DEBUG    | main_window:init_ui:48 - 创建预警中心...
2025-04-26 15:23:38.179 | INFO     | views.alert_center:__init__:135 - 初始化预警中心...
2025-04-26 15:23:38.190 | DEBUG    | views.alert_center:initUI:181 - 预警中心UI初始化完成
2025-04-26 15:23:38.191 | INFO     | main_window:init_ui:59 - 主窗口初始化完成
2025-04-26 15:23:38.321 | INFO     | __main__:<module>:37 - 应用程序启动完成
2025-04-26 15:23:38.440 | INFO     | views.dashboard:loadData:83 - 开始加载业财看板数据...
2025-04-26 15:23:38.440 | DEBUG    | views.dashboard:loadData:86 - 请求项目统计数据...
2025-04-26 15:23:38.454 | DEBUG    | views.dashboard:loadData:88 - 项目统计响应状态码: 422
2025-04-26 15:23:38.454 | ERROR    | views.dashboard:loadData:96 - 项目统计请求失败，状态码: 422
2025-04-26 15:23:38.454 | ERROR    | views.dashboard:loadData:97 - 响应内容: {"detail":[{"type":"int_parsing","loc":["path","project_id"],"msg":"Input should be a valid integer, unable to parse string as an integer","input":"stats"}]}
2025-04-26 15:23:38.691 | INFO     | views.alert_center:loadData:191 - 开始加载预警中心数据...
2025-04-26 15:23:38.691 | DEBUG    | views.alert_center:loadData:194 - 请求预警规则数据...
2025-04-26 15:23:38.694 | DEBUG    | views.alert_center:loadData:196 - 预警规则响应状态码: 401
2025-04-26 15:23:38.694 | ERROR    | views.alert_center:loadData:231 - 预警规则请求失败，状态码: 401
2025-04-26 15:23:38.695 | ERROR    | views.alert_center:loadData:232 - 响应内容: {"detail":"Not authenticated"}
2025-04-26 15:23:41.189 | DEBUG    | views.alert_center:loadData:236 - 请求预警记录数据...
2025-04-26 15:23:41.192 | DEBUG    | views.alert_center:loadData:238 - 预警记录响应状态码: 401
2025-04-26 15:23:41.193 | ERROR    | views.alert_center:loadData:270 - 预警记录请求失败，状态码: 401
2025-04-26 15:23:41.193 | ERROR    | views.alert_center:loadData:271 - 响应内容: {"detail":"Not authenticated"}
2025-04-26 15:23:41.663 | INFO     | views.alert_center:loadData:274 - 预警中心数据加载完成
2025-04-26 15:23:42.082 | DEBUG    | views.dashboard:loadData:101 - 请求预警统计数据...
2025-04-26 15:23:42.086 | DEBUG    | views.dashboard:loadData:103 - 预警统计响应状态码: 401
2025-04-26 15:23:42.086 | ERROR    | views.dashboard:loadData:110 - 预警统计请求失败，状态码: 401
2025-04-26 15:23:42.087 | ERROR    | views.dashboard:loadData:111 - 响应内容: {"detail":"Not authenticated"}
2025-04-26 15:23:42.312 | INFO     | views.dashboard:loadData:115 - 开始更新图表...
2025-04-26 15:23:42.312 | DEBUG    | views.dashboard:updateCharts:137 - 请求项目进度数据...
2025-04-26 15:23:42.315 | DEBUG    | views.dashboard:updateCharts:139 - 项目进度响应状态码: 422
2025-04-26 15:23:42.316 | ERROR    | views.dashboard:updateCharts:167 - 项目进度请求失败，状态码: 422
2025-04-26 15:23:42.316 | ERROR    | views.dashboard:updateCharts:168 - 响应内容: {"detail":[{"type":"int_parsing","loc":["path","project_id"],"msg":"Input should be a valid integer, unable to parse string as an integer","input":"progress"}]}
2025-04-26 15:23:42.744 | DEBUG    | views.dashboard:updateCharts:172 - 请求预算执行数据...
2025-04-26 15:23:42.746 | DEBUG    | views.dashboard:updateCharts:174 - 预算执行响应状态码: 422
2025-04-26 15:23:42.746 | ERROR    | views.dashboard:updateCharts:201 - 预算执行请求失败，状态码: 422
2025-04-26 15:23:42.749 | ERROR    | views.dashboard:updateCharts:202 - 响应内容: {"detail":[{"type":"int_parsing","loc":["path","project_id"],"msg":"Input should be a valid integer, unable to parse string as an integer","input":"budget"}]}
2025-04-26 15:23:43.128 | INFO     | views.dashboard:updateCharts:205 - 图表更新完成
2025-04-26 15:23:43.128 | INFO     | views.dashboard:loadData:118 - 业财看板数据加载完成
2025-04-26 15:23:49.770 | INFO     | views.alert_center:loadData:191 - 开始加载预警中心数据...
2025-04-26 15:23:49.771 | DEBUG    | views.alert_center:loadData:194 - 请求预警规则数据...
2025-04-26 15:23:49.774 | DEBUG    | views.alert_center:loadData:196 - 预警规则响应状态码: 401
2025-04-26 15:23:49.775 | ERROR    | views.alert_center:loadData:231 - 预警规则请求失败，状态码: 401
2025-04-26 15:23:49.775 | ERROR    | views.alert_center:loadData:232 - 响应内容: {"detail":"Not authenticated"}
2025-04-26 15:23:51.265 | DEBUG    | views.alert_center:loadData:236 - 请求预警记录数据...
2025-04-26 15:23:51.267 | DEBUG    | views.alert_center:loadData:238 - 预警记录响应状态码: 401
2025-04-26 15:23:51.267 | ERROR    | views.alert_center:loadData:270 - 预警记录请求失败，状态码: 401
2025-04-26 15:23:51.268 | ERROR    | views.alert_center:loadData:271 - 响应内容: {"detail":"Not authenticated"}
2025-04-26 15:23:51.971 | INFO     | views.alert_center:loadData:274 - 预警中心数据加载完成
2025-04-26 15:23:54.129 | INFO     | main_window:closeEvent:78 - 用户确认退出系统
